Name,Sales,Retail_Price,Averge_Sale_Price,Highest_Price,Lowest_Price,Release_Date
Jordan 6 Retro Aleali May (W),2304,190,305,950,205,2019-03-15
Jordan 13 Retro Altitude (2017),967,190,150,250,80,2017-12-21
Jordan 10 Retro Drake OVO Black,456,225,240,406,171,2016-02-13
Jordan 10 Retro Drake OVO White,421,225,307,450,219,2015-09-12
Jordan 3 Retro White Cement ('88 Dunk Contest 2013),325,200,430,660,310,2013-02-06
Jordan 1 Retro Satin,39,175,1939,3450,1200,2016-10-18
Jordan 1 Retro High Gatorade Blue Lagoon,932,175,140,396,75,2017-12-26
Jordan 4 Retro Black Cement (2012),840,160,305,475,152,2012-11-01
Jordan 1 Retro High Gold Top 3,439,160,462,1000,280,2017-11-04
Jordan 3 Retro Black Cement (2011),355,160,235,320,165,2011-11-25
Jordan 12 Retro OVO White,214,225,674,1250,450,2016-10-01
Jordan 1 Retro Fragment,158,185,2052,3549,1236,2014-12-27
Jordan 8 Retro Doernbecher,127,190,660,895,480,2014-11-23
Jordan 4 Retro Cool Grey,111,100,382,538,195,2004-09-25
Jordan 4 Retro Doernbecher,108,175,1115,1930,826,2011-11-08
Jordan 13 Retro He Got Game 2018 (GS),4814,140,177,274,111,2018-08-04
Jordan 1 Retro High Homage To Home Chicago (Numbered),300,160,506,999,250,2018-04-21
Jordan 5 Retro Doernbecher,87,180,817,1100,516,2013-09-14
Jordan 3 Retro Doernbecher (2013),54,160,576,841,377,2013-07-20
Jordan 1 Retro Satin,54,175,1181,1660,851,2017-04-01
Jordan 1 Retro High Camo 3M Bred,43,145,236,500,150,2017-09-01
Jordan 11 Retro Concord DMP (2006),38,148,536,799,399,2006-01-28
Jordan 12 Retro OVO Black,243,225,371,595,251,2017-02-18
Jordan 2 Retro Just Don Beach,160,650,486,682,360,2016-01-30
Jordan 2 Retro Just Don Blue,118,350,626,800,470,2015-01-31
Jordan 1 Retro Shadow (2013),92,140,245,356,150,2013-07-13
Jordan 10 Retro Doernbecher,86,170,254,400,120,2013-11-23
Jordan 12 Retro PSNY Wheat,65,300,427,700,266,2017-06-28
Jordan 4 Retro White Laser,51,200,372,570,270,2005-05-14
Jordan 12 Retro PSNY Olive,47,300,496,700,362,2017-06-28
Jordan 12 Retro PSNY Bordeaux,47,300,520,1000,340,2017-06-28
Jordan 1 Retro Black Royal Blue (2001),36,100,432,600,303,2001-10-06
Jordan 13 Retro Premio Bin 23,30,175,1142,1565,888,2010-08-21
Jordan 4 Retro Black Laser,21,175,703,880,550,2005-08-20
Jordan 7 Retro Premio Bin 23,20,175,760,1000,600,2010-11-26
Jordan 1 Retro Black Metallic Gold (2013),17,140,1441,2350,950,2013-04-13
Jordan 2 Retro Doernbecher Peacock,17,140,780,1025,584,2007-11-09
Jordan 13 Retro Ray Allen PE,13,175,1524,2101,1001,2011-07-23
Jordan 7 Retro Miro,11,175,1161,1650,900,2008-07-03
Jordan 23 Finale,10,230,976,1200,750,2008-12-23
Jordan 2 Retro Eminem (The Way I Am),9,110,3249,4999,2700,2008-12-18
Jordan 23 Titanium,7,230,754,1200,400,2008-01-25
Jordan 1 Retro High OG Spike Lee Fort Greene,7,300,3122,4000,1985,2017-06-16
Jordan 13 OG Flint (1997),6,150,374,524,300,1998-02-14
Jordan 4 Retro Oregon Ducks,6,9999,4850,10500,2000,2012-01-01
